station_source_id,charger_source_id,station_name,address,charge_type,status_name,operator_name
687,3,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,완속,이용제한,한국전력공사
688,1,가락우성2차 아파트,서울특별시 송파구 가락동 중대로12길 35,완속,이용제한,한국전력공사
1230,,가람마을11단지,경기도 파주시 와동동 1368,,,
736,1,가람아파트,서울특별시 강남구 일원동 일원로 127,급속,이용제한,한국전력공사
2510,1,가로공원 공영주차장,서울특별시 양천구 신월동 263,급속,이용가능,한국전력공사
3787,1,가산면 다부동 전적기념관,경상북도 칠곡군 가산면 호국로 1486,급속,이용가능,한국전력공사
4279,,가산평생학습복지센터,경상북도 칠곡군 가산면 천평리 127,,,
425,,가시리 조랑말체험공원,제주특별자치도 서귀포시 표선면 가시리 3149-33,,,
1700,,가아KT-e편한세상,부산광역시 부산진구 가야동 698,,,
4250,1,가온마을2단지,세종특별자치시 다정동 산 29,완속,이용제한,한국전력공사
4238,,가음정시장 공영주차장,경상남도 창원시 성산구 가음동 21-3,,,
4830,1,가일리공영주차장,경상북도 경산시 압량읍 가일길20길 9-1,급속,이용가능,한국전력공사
5053,,가장동 공영주차장,대전광역시 서구 가장동 27-1,,,
491,,가재마을10단지,세종특별자치시 종촌동 656,,,
2885,2,가재마을11단지,세종특별자치시 종촌동 654,완속,이용제한,한국전력공사
858,,가재마을12단지,세종특별자치시 종촌동 652,,,
2974,1,가재마을2단지아파트,세종특별자치시 종촌동 683,급속,이용제한,한국전력공사
2974,2,가재마을2단지아파트,세종특별자치시 종촌동 683,완속,이용제한,한국전력공사
1510,,가재마을3단지,세종특별자치시 종촌동 679,,,
3346,1,가재마을4단지,세종특별자치시 종촌동 도움3로 160,급속,이용제한,한국전력공사
3346,2,가재마을4단지,세종특별자치시 종촌동 도움3로 160,완속,이용제한,한국전력공사
1074,,가재마을9단지,세종특별자치시 종촌동 697,,,
2890,1,가정뉴서울아파트,인천광역시 서구 가정동 284-401,급속,이용제한,한국전력공사
7356,,가좌 우수저류시설 공영주차장,경남 진주시 가좌동 1981,,,
2739,1,가좌마을1단지 양우아파트,경기도 고양시 일산서구 가좌동 1090,급속,이용제한,한국전력공사
911,,가좌마을7단지꿈에그린한화 아파트,경기도 고양시 일산서구 가좌동 1105,,,
450,,가좌벽산블루밍5단지 아파트,경기도 고양시 일산서구 가좌동 1087,,,
2181,,가창체육공원,대구광역시 달성군 가창면 대일리 319-1,,,
3369,,가천대 글로벌캠퍼스,경기도 성남시 수정구 복정동 620-2,,,
4532,,가평소방서,경기도 가평군 가평읍 대곡리 213-5,,,
4643,,가평종합운동장,경기도 가평군 가평읍 대곡리 316,,,
303,1,가평지사,경기도 가평군 가평읍 가화로 169-11,급속,이용가능,한국전력공사
303,2,가평지사,경기도 가평군 가평읍 가화로 169-11,완속,이용제한,한국전력공사
8040,1,가평지사(공용),경기도 가평군 가평읍 가화로 169-11,급속,이용가능,한국전력공사
4530,,가평하수도사업소,경기도 가평군 가평읍 달전리 364,,,
